,E2F1_exp,E2F1_cnv,cg24088408,cg01116321,cg00509772,E2F2,E2F7,BRCA1
SPH3_03,0.421877809396212,-0.025171028,0.165780037021618,0.255635939485797,0.262253636746437,0.533133617087876,0.623664866491206,0.396736538405242
SPH3_04,0.0660805260124403,0.037311176,0.176108420249479,0.478844087988863,0.456422778700401,0.163776316107546,0.440637259439094,0.224125655917267
SPH3_05,0.31886299228808,0.0086310437,0.170988824197473,0.427131051548757,0.319443208680413,0.594362793739343,0.632673914460751,0.290988043728831
SPH3_06,0.475290477350403,-0.248327816,0.0867711463048647,0.141844575009721,0.164467544438021,0.613520431060342,0.63260123053926,0.225584827168421
SPH3_07,0.481686829948075,0.375469556,0.0577035666189808,0.100495797593651,0.0900491029780723,0.618292526763865,0.671777311365654,0.468963781043092
SPH3_08,0.082241576447864,-0.1181060331,0.218615782138261,0.637782356086068,0.247252790675239,0.317873703057448,0.504910198244754,0.33328404534619
SPH3_09,0.342840029467844,0.0522370494,0.146765767534557,0.301172776425734,0.448585506168292,0.226747120145976,0.323344355914618,0.262579989085596
SPH3_10,0.28463754385037,-0.02658834,0.156239413957376,0.300481475321576,0.323527934834881,0.416502527198054,0.503889705870807,0.28143676772672
SPH3_11,0,0.0463324415,0.174446901232822,0.340527366549866,0.34690531015448,0.356974200733433,0.103343898542815,0.114958786344217
SPH3_12,0.563245398122655,0.0674713796,0.072828069723593,0.0801220561355979,0.0741468972678936,0.750443092074759,0.909785402519393,0.833307597870388
SPH3_13,0.417959364999099,-0.062974559,0.240275431747777,0.512785928352885,0.341957053822623,0.383899529110633,0.621991836290653,0.0985444608568535
SPH3_14,0.626892732363916,0.11637473,0.112973477644166,0.255278873340161,0.12094702837998,0.587573224349067,0.744473823443083,0.353232827542226
SPH3_15,0.336686100020156,-0.1549894,0.211444039614616,0.471339063788663,0.323271539812264,0.41429583680412,0.383989023046879,0.145500612113028
SPH3_16,0.109249381661178,-0.023409022,0.256217933983939,0.543895917109151,0.421930273055173,0,0,0.0472967189031433
SPH3_17,0.340088046465121,-0.0349987213,0.161727261802806,0.29171455163402,0.344047620966659,0.490589434374378,0.536032715936805,0.432675807349383
SPH3_18,0.500416688224665,-0.01037915,0.342198586795499,0.441425008299006,0.518970758528336,0.386132178275442,0.560010839034353,0.191361945081646
SPH3_19,0.29752872429472,-0.120330212,0.277479297037653,0.526721841756132,0.470696424067306,0.284320409244899,0.634348011851814,0.310122319097663
SPH3_20,0.602085109106179,-0.0775065568,0.130584380771481,0.203370732362653,0.310624038806755,0.686974178387255,0.620111203469855,0.51248573734353
SPH3_21,0.341403997698077,-0.28626206,0.190927167627567,0.330531087168101,0.168998415921999,0.614695097354306,0.664317002038924,0.365524625234621
SPH3_23,0.404475655461887,-0.018193229,0.194308015639613,0.439734325835579,0.47405819290367,0.340321284074734,0.473983840138215,0.29584742335782
SPH3_24,0.624412741888577,-0.219817306,0.127217792424774,0.399126074330683,0.16903054629022,0.695812520844069,0.883755326687525,0.821661143614251
SPH3_25,0.460313648571617,0.0105802442,0.168742899421343,0.291250794339179,0.258707943097326,0.733031316873817,0.730955155646171,0.57410238810408
SPH3_27,0.256733224505412,-0.0138585893,0.130332779208828,0.319388496697682,0.516225082679007,0.39637352823065,0.506981614117231,0.214752573589461
SPH3_29,0.596418486670722,0.022569957,0.0625688918082102,0.356005868770805,0.0933788694359565,0.680890296027354,0.399008206011916,0.350922560064421
SPH3_30,0.207825922614772,-0.027081557,0.218033882920365,0.476259975938808,0.264099927733478,0.387151053286057,0.514024204598936,0.0494799885193691
SPH3_31,0.473927804601824,-0.03700091,0.207215021636062,0.481540779187586,0.482822204293024,0.221367294915639,0.404795194089512,0.185792961808535
SPH3_32,1,0.16833609,0.196448560692309,0.429924903167714,0.0462777526419168,1,1,1
SPH3_33,0.389360998477675,0.12356743,0.0690773089518736,0.171235172518456,0.14203750213144,0.470310556888154,0.307571216584716,0.235003339088398
SPH3_34,0.400463356633925,-0.039134345,0.200281642885657,0.465804685211943,0.457374863415615,0.322283624053398,0.506714645803563,0
SPH3_36,0.768790796506534,0.582659845,0.118667741313231,0.188525443826941,0.0891106993225197,0.801005618349864,0.819961833654046,0.648014010240534
SPH3_37,0.354837830429905,0.095034302,0.0653527809501654,0.388816749594438,0.151180486560557,0.604264915135183,0.644541910632559,0.229742681941185
SPH3_38,0.27984898825803,-0.0373435283,0.172794188498596,0.242580850501905,0.37911085402968,0.284108600977503,0.322295558156116,0.03075416944251
SPH3_40,0.576380656139932,-0.065209188,0.0446483626679715,0.120412057171439,0.103967513722987,0.626066677398184,0.741378084647976,0.554426017272648
SPH3_43,0.40247260483641,0.3696250896,0.145145629414823,0.268891906630867,0.295021690301066,0.403956077670309,0.601385663717539,0.329355864725189
SPH3_44,0.436710675352543,-0.02838453,0.0428768162089767,0.163789247716555,0.204124992329398,0.611623893720305,0.611207348460893,0.398732237154166
SPH3_45,0.545034707014674,0.02766576,0.213831630678024,0.289396588586625,0.382649480131703,0.563669935026135,0.935434354613924,0.434974037829576
