,MYC_exp,MYC_cnv,cg00163372,cg08526705,DNMT3A,TRRAP,EP400
SPH3_03,0.375430889919538,-0.006760782,0.81926950047074,0.679140422378659,0.35321864770424,0.664710060307478,0.809699498291607
SPH3_04,0.678440147019907,0.039540113,0.880598702441639,0.765355171799893,0.271342794968561,0.582944026791582,0.580609892737242
SPH3_05,0.176257743431017,0.0186177352,0.489059030178802,0.38420085731782,0.221017400258764,0.275948771216167,0.154455099026061
SPH3_06,0.182856285056424,0.128103092,0.158262393783817,0.181425786688945,0.263467646165678,0.277249033467124,0.53793150365343
SPH3_07,0.443890073848678,0.090889978,0.47419814708054,0.461224979024332,0.635204516107375,0.604831242109131,0.857243965968026
SPH3_08,0.30060372001031,-0.022273027,0.901088209039493,0.80345698193824,0.178248725257568,0.57853268732622,0.339118823919338
SPH3_09,0.0775806373427279,0.0256357317,0.926782089557919,0.895857026807474,0.323087528492124,0,0.100934470193665
SPH3_10,0.397466409866345,-0.015200835,0.441896041905382,0.418523002421308,0.542809192430652,0.464242675301597,0.546152514641587
SPH3_11,0.491989059094071,0.068429608,0.705205314054683,0.624984001023934,0.0840299694633456,0.241362434776352,0.15054435020444
SPH3_12,0.612906862328228,0.0845606128,0.135957359447019,0.156576200417537,0.420008450254869,0.656351007753633,0.651440374929885
SPH3_13,0.457057372579365,-0.084443701,0.643434770643014,0.535314743696777,0.439771278885266,0.347428638583178,0.335420561223439
SPH3_14,0.213666390370784,0.462514493,0.798588708587924,0.736425209505223,0.275698550959516,0.626533056604631,0.397727935857493
SPH3_15,0.307280912069851,-0.0960124,0.676561685757942,0.585628917067483,0.245619631976989,0.237138781778638,0.440272106128279
SPH3_16,0.416304969799074,-0.010937343,0.732084205676628,0.678123548536925,0.125088244273065,0.410145768081663,0
SPH3_17,0.328752912578212,0.0101962701,0.741984897257141,0.692855930765315,0.27528760204275,0.352507565764731,0.255395484227761
SPH3_18,0.640673560096305,-0.0166391,0.956983750676825,0.890700160342063,0.27834073570603,0.502684961108076,0.284006012096815
SPH3_19,0.428813261054555,0.071337811,0.763257624228604,0.736263736263736,0.228567840134897,0.471198924687772,0.239619163392284
SPH3_20,0.535986021344425,0.2893270261,0.539087395759524,0.530028018028993,0.314141467139492,0.445071960626797,0.359683146774262
SPH3_21,0.707330608466011,0.29788736,0.296570029571671,0.359094311377246,1,0.567677579464439,0.964160567729421
SPH3_23,0,0.022368025,0.933716047999003,0.883258817685047,0,0.219821592279343,0.0960037024333601
SPH3_24,0.625866275052232,0.247215829,0.851800255963303,0.610425585494838,0.446253782573851,0.815822881780499,0.761854611009709
SPH3_25,0.327927797164057,-0.0051861288,0.431540363761683,0.356540349993705,0.27834073570603,0.474711244693969,0.32017241506921
SPH3_27,0.042117368314626,-0.0303569059,0.877765765747608,0.905420560747664,0.218888550379423,0.340728893380996,0.133646437769475
SPH3_29,0.517539035141665,0.105689978,0.601823413887347,0.497111379819965,0.581984425547577,0.538452482297648,0.551921182798742
SPH3_30,0.314594518606618,0.243488985,0.894717760286829,0.848435814455232,0.247635783237199,0.595839137436697,0.391170407847658
SPH3_31,0.160410210651533,-0.02580356,0.934698257510682,0.854218533886584,0.0934951562294184,0.45520614724959,0.0692152168411785
SPH3_32,1,0.94815904,0.172569427834672,0.139552003365233,0.977483749698056,1,1
SPH3_33,0.660225713608195,0.29885585,0.274237141176222,0.27707261292167,0.652981836383228,0.642464086973981,0.557437774623116
SPH3_34,0.179090773490718,0.024233424,0.770784703400556,0.771300448430493,0.101710539931006,0.240342493007523,0.326153292264841
SPH3_36,0.522664791202244,0.525829357,0.161382496434776,0.189029737702304,0.664523864019643,0.763666264735732,0.680681489147179
SPH3_37,0.634262164505597,0.057771305,0.242034440660822,0.357432221875974,0.860375300549568,0.941506006671684,0.958797909791334
SPH3_38,0.434237756478924,0.0053718809,0.623334040267057,0.700054044316339,0.510325452846256,0.753256166186163,0.705733292851634
SPH3_40,0.406619658823105,1.721210972,0.246043254411467,0.274436090225564,0.857668009887619,0.714729607381425,0.599640988213312
SPH3_43,0.600346702934882,-0.0060032977,0.575366327321649,0.600857734398107,0.317601635380467,0.50836494125399,0.22656460082071
SPH3_44,0.436071582247911,-0.03876586,0.521198837445714,0.520223152022315,0.657593353768521,0.620190566878017,0.4634040356576
SPH3_45,0.519658207277042,0.00527895,0.940847547922575,0.866767143933685,0.502846605233881,0.837413189354896,0.733049581970755
